Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
61-30-051 LKR-250-400-1500;18,0;db;28 406;30 853;511 311;555 357;1 066 668
61-30-052 LKR-250-500-200;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-053 LKR-250-500-1200;1,0;db;26 219;28 480;26 219;28 480;54 699
61-30-054 LKR-250-500-1500;2,0;db;32 776;35 600;65 553;71 200;136 752
61-30-055 LKR-250-550-100;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-056 LKR-250-550-300;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-057 LKR-250-550-400;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-058 LKR-250-550-900;1,0;db;20 975;22 784;20 975;22 784;43 760
61-30-059 LKR-250-550-1300;2,0;db;30 298;32 910;60 596;65 820;126 416
61-30-060 LKR-250-550-1400;1,0;db;32 629;35 442;32 629;35 442;68 071
61-30-061 LKR-300-150-100;3,0;db;14 567;15 822;43 701;47 466;91 167
61-30-062 LKR-300-150-200;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-063 LKR-300-150-300;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-064 LKR-300-150-400;2,0;db;14 567;15 822;29 134;31 644;60 778
61-30-065 LKR-300-150-500;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-066 LKR-300-150-600;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-067 LKR-300-150-1000;1,0;db;15 150;16 455;15 150;16 455;31 605
61-30-068 LKR-300-150-1200;1,0;db;15 732;17 088;15 732;17 088;32 820
61-30-069 LKR-300-150-1500;1,0;db;19 666;21 360;19 666;21 360;41 026
61-30-070 LKR-300-200-100;17,0;db;14 567;15 822;247 639;268 977;516 615
61-30-071 LKR-300-200-200;18,0;db;14 567;15 822;262 205;284 799;547 004
61-30-072 LKR-300-200-300;15,0;db;14 567;15 822;218 505;237 332;455 837
61-30-073 LKR-300-200-400;8,0;db;14 567;15 822;116 536;126 577;243 113
61-30-074 LKR-300-200-500;14,0;db;14 567;15 822;203 938;221 510;425 448
61-30-075 LKR-300-200-600;8,0;db;14 567;15 822;116 536;126 577;243 113
61-30-076 LKR-300-200-700;14,0;db;14 567;15 822;203 938;221 510;425 448
61-30-077 LKR-300-200-800;9,0;db;14 567;15 822;131 103;142 399;273 502
61-30-078 LKR-300-200-900;12,0;db;14 567;15 822;174 804;189 866;364 669
61-30-079 LKR-300-200-1000;9,0;db;14 567;15 822;131 103;142 399;273 502
61-30-080 LKR-300-200-1100;10,0;db;16 024;17 404;160 237;174 044;334 280
61-30-081 LKR-300-200-1200;7,0;db;17 480;18 987;122 363;132 906;255 269
61-30-082 LKR-300-200-1300;11,0;db;18 936;20 569;208 295;226 257;434 552
61-30-083 LKR-300-200-1400;7,0;db;20 393;22 151;142 748;155 057;297 805
61-30-084 LKR-300-200-1500;132,0;db;21 849;23 733;2 884 108;3 132 785;6 016 894
61-30-085 LKR-300-200-1600;2,0;db;23 306;25 315;46 612;50 631;97 243
61-30-086 LKR-300-200-1700;3,0;db;24 763;26 898;74 288;80 693;154 981
61-30-087 LKR-300-200-1800;1,0;db;26 219;28 480;26 219;28 480;54 699
61-30-088 LKR-300-200-1900;1,0;db;27 676;30 062;27 676;30 062;57 738
61-30-089 LKR-300-200-2000;1,0;db;29 133;31 644;29 133;31 644;60 777
61-30-090 LKR-300-200-2800;2,0;db;40 786;44 302;81 573;88 604;170 177
61-30-091 LKR-300-200-4500;1,0;db;65 549;71 200;65 549;71 200;136 749
61-30-092 LKR-300-250-100;3,0;db;14 567;15 822;43 701;47 466;91 167
61-30-093 LKR-300-250-200;2,0;db;14 567;15 822;29 134;31 644;60 778
61-30-094 LKR-300-250-400;3,0;db;14 567;15 822;43 701;47 466;91 167
61-30-095 LKR-300-250-500;2,0;db;14 567;15 822;29 134;31 644;60 778
61-30-096 LKR-300-250-600;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-097 LKR-300-250-900;1,0;db;14 567;15 822;14 567;15 822;30 389
