Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
61-30-012 LKR-200-150-100;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-013 LKR-200-150-600;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-014 LKR-200-200-100;3,0;db;14 567;15 822;43 701;47 466;91 167
61-30-015 LKR-200-200-200;6,0;db;14 567;15 822;87 402;94 933;182 335
61-30-016 LKR-200-200-300;3,0;db;14 567;15 822;43 701;47 466;91 167
61-30-017 LKR-200-200-400;4,0;db;14 567;15 822;58 268;63 289;121 556
61-30-018 LKR-200-200-700;3,0;db;14 567;15 822;43 701;47 466;91 167
61-30-019 LKR-200-200-800;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-020 LKR-200-200-900;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-021 LKR-200-200-1000;4,0;db;14 567;15 822;58 268;63 289;121 556
61-30-022 LKR-200-200-1300;1,0;db;15 150;16 455;15 150;16 455;31 605
61-30-023 LKR-200-200-1400;3,0;db;16 315;17 721;48 945;53 163;102 108
61-30-024 LKR-200-200-1500;2,0;db;17 480;18 987;34 961;37 973;72 934
61-30-025 LKR-200-300-200;1,0;db;19 810;21 518;19 810;21 518;41 328
61-30-026 LKR-200-300-300;3,0;db;14 567;15 822;43 701;47 466;91 167
61-30-027 LKR-200-300-200;2,0;db;14 567;15 822;29 134;31 644;60 778
61-30-028 LKR-200-300-300;3,0;db;14 567;15 822;43 701;47 466;91 167
61-30-030 LKR-200-300-600;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-031 LKR-200-300-1100;2,0;db;16 024;17 404;32 047;34 809;66 856
61-30-032 LKR-200-300-1500;3,0;db;21 849;23 733;65 548;71 200;136 748
61-30-033 LKR-200-300-1600;1,0;db;23 306;25 315;23 306;25 315;48 621
61-30-034 LKR-200-300-2300;1,0;db;33 503;36 391;33 503;36 391;69 894
61-30-035 LKR-200-300-3000;1,0;db;43 700;47 466;43 700;47 466;91 166
61-30-036 LKR-200-300-5300;1,0;db;77 203;83 857;77 203;83 857;161 060
61-30-037 LKR-200-400-200;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-038 LKR-200-400-2200;1,0;db;38 456;41 771;38 456;41 771;80 227
61-30-039 LKR-200-500-100;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-040 LKR-250-200-100;3,0;db;14 567;15 822;43 701;47 466;91 167
61-30-041 LKR-250-200-200;2,0;db;14 567;15 822;29 134;31 644;60 778
61-30-042 LKR-250-200-300;2,0;db;14 567;15 822;29 134;31 644;60 778
61-30-043 LKR-250-200-400;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-044 LKR-250-200-600;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-045 LKR-250-200-900;2,0;db;14 567;15 822;29 134;31 644;60 778
61-30-046 LKR-250-200-1000;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-047 LKR-250-200-1300;1,0;db;17 044;18 512;17 044;18 512;35 556
61-30-048 LKR-250-200-1500;3,0;db;19 666;21 360;58 998;64 080;123 078
61-30-049 LKR-250-400-400;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-050 LKR-250-400-900;2,0;db;20 831;22 625;41 663;45 251;86 914
