Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
61-30-427 LKR-600-400-400;2,0;db;14 567;15 822;29 134;31 644;60 778
61-30-428 LKR-600-400-500;3,0;db;14 567;15 822;43 701;47 466;91 167
61-30-429 LKR-600-400-600;2,0;db;17 480;18 987;34 961;37 973;72 934
61-30-430 LKR-600-400-700;2,0;db;20 393;22 151;40 785;44 302;85 087
61-30-431 LKR-600-400-800;1,0;db;23 306;25 315;23 306;25 315;48 621
61-30-432 LKR-600-400-900;2,0;db;29 133;31 644;58 266;63 289;121 554
61-30-433 LKR-600-400-1000;8,0;db;29 133;31 644;233 062;253 154;486 217
61-30-434 LKR-600-400-1100;5,0;db;32 046;34 809;160 231;174 044;334 275
61-30-435 LKR-600-400-1200;8,0;db;34 960;37 973;279 677;303 785;583 462
61-30-436 LKR-600-400-1300;2,0;db;37 873;41 138;75 746;82 275;158 021
61-30-437 LKR-600-400-1400;2,0;db;40 786;44 302;81 573;88 604;170 177
61-30-438 LKR-600-400-1500;38,0;db;43 700;47 466;1 660 591;1 803 725;3 464 316
61-30-439 LKR-600-400-1600;1,0;db;46 613;50 631;46 613;50 631;97 244
61-30-440 LKR-600-400-2000;2,0;db;58 266;63 289;116 531;126 577;243 108
61-30-441 LKR-600-450-1300;1,0;db;206 844;224 675;206 844;224 675;431 519
61-30-442 LKR-600-450-1500;6,0;db;33 649;36 549;201 894;219 294;421 188
61-30-443 LKR-600-450-1100;1,0;db;39 767;43 194;39 767;43 194;82 961
61-30-444 LKR-600-450-1500;6,0;db;45 885;49 840;275 312;299 039;574 351
61-30-445 LKR-600-500-100;3,0;db;14 567;15 822;43 701;47 466;91 167
61-30-446 LKR-600-500-200;2,0;db;14 567;15 822;29 134;31 644;60 778
61-30-447 LKR-600-500-300;2,0;db;14 567;15 822;29 134;31 644;60 778
61-30-448 LKR-600-500-400;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-449 LKR-600-500-500;1,0;db;16 024;17 404;16 024;17 404;33 428
61-30-450 LKR-600-500-600;1,0;db;19 227;20 885;19 227;20 885;40 113
61-30-451 LKR-600-500-700;4,0;db;22 432;24 367;89 727;97 468;187 195
61-30-452 LKR-600-500-800;1,0;db;25 637;27 847;25 637;27 847;53 483
61-30-453 LKR-600-500-900;4,0;db;28 841;31 328;115 366;125 310;240 676
61-30-454 LKR-600-500-1000;1,0;db;32 046;34 809;32 046;34 809;66 855
61-30-455 LKR-600-500-1100;1,0;db;35 251;38 290;35 251;38 290;73 541
61-30-456 LKR-600-500-1300;1,0;db;41 660;45 251;41 660;45 251;86 911
61-30-457 LKR-600-500-1400;3,0;db;44 865;48 732;134 595;146 196;280 791
61-30-458 LKR-600-500-1500;9,0;db;48 070;52 213;432 629;469 918;902 546
61-30-459 LKR-600-500-1600;1,0;db;51 275;55 694;51 275;55 694;106 969
61-30-460 LKR-600-500-2100;2,0;db;67 297;73 099;134 594;146 197;280 791
61-30-461 LKR-600-600-100;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-462 LKR-600-600-200;1,0;db;14 567;15 822;14 567;15 822;30 389
61-30-463 LKR-600-600-400;2,0;db;17 480;18 987;34 961;37 973;72 934
61-30-464 LKR-600-600-500;2,0;db;17 480;18 987;34 961;37 973;72 934
61-30-465 LKR-600-600-700;1,0;db;24 471;26 581;24 471;26 581;51 052
61-30-466 LKR-600-600-900;1,0;db;31 464;34 175;31 464;34 175;65 639
61-30-467 LKR-600-600-1000;1,0;db;38 456;41 771;38 456;41 771;80 227
61-30-468 LKR-600-600-1100;2,0;db;38 456;41 771;76 911;83 542;160 453
61-30-469 LKR-600-600-1400;1,0;db;41 952;45 568;41 952;45 568;87 519
61-30-470 LKR-600-600-1500;9,0;db;52 440;56 960;471 959;512 638;984 597
61-30-471 LKR-600-600-1800;1,0;db;52 440;56 960;52 440;56 960;109 400
61-30-472 LKR-600-600-3000;1,0;db;104 879;113 919;104 879;113 919;218 798
61-30-473 LKR-600-700-500;1,0;db;18 936;20 569;18 936;20 569;39 505
