Tétel;Megjegyzés;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
45-60-51;;;;;;;;
45-60-52;;;;;;;;
45-60-53;;;;;;;;
45-60-54;;;;;;;;
45-60-55;;;;;;;;
45-60-56;;;;;;;;
45-60-57;;;;;;;;
45-60-58;;;;;;;;
45-60-59;;;;;;;;
45-60-60;;;;;;;;
45-60-61;;;;;;;;
45-60-62;;;;;;;;
45-60-63;;;;;;;;
45-60-64;;;;;;;;
45-60-65;;;;;;;;
45-60-66;;;;;;;;
45-60-67;;;;;;;;
45-60-68;;;;;;;;
45-60-69;;;;;;;;
45-60-70;;;;;;;;
45-60-71;;;;;;;;
45-60-72;;;;;;;;
45-60-73;;;;;;;;
45-60-74;;;;;;;;
45-60-75;;;;;;;;
45-60-76;;;;;;;;
45-60-77;;;;;;;;
45-60-78;;;;;;;;
45-60-79;;;;;;;;
45-60-80;;;;;;;;
45-60-81;;;;;;;;
45-60-82;;;;;;;;
45-60-83;;;;;;;;
45-60-84;;;;;;;;
45-60-85;;;;;;;;
45-60-86;;;;;;;;
45-60-87;;;;;;;;
45-60-88;;;;;;;;
45-60-89;;;;;;;;
45-60-90;;;;;;;;
45-60-91;;;;;;;;
45-60-92;;;;;;;;
45-60-93;;;;;;;;
45-60-94;;;;;;;;
45-60-95;;;;;;;;
45-60-96;;;;;;;;
45-60-97;;;;;;;;
45-60-98;;;;;;;;
45-60-99;;;;;;;;
45-61-00 Tárgyalóasztal (Alelnök), 180x80x75 - Termék;Konszig jel: BM-6-07.1;2,0;db;1 478 848;81 747;2 957 696;163 495;3 121 190
45-61-01 Tárgyalóasztal (Alelnök), 300x100x75 - Termék;Konszig jel: BM-6-07.2;1,0;db;2 419 459;106 308;2 419 459;106 308;2 525 767
45-61-02 Tárgyalóasztal (Operációs vezető), 180x100x75 - Termék;Konszig jel: BM-6-08;1,0;db;1 898 196;104 928;1 898 196;104 928;2 003 124
45-61-03 Tárgyalóasztal (Tárgyaló), 320x100x75 - Termék;Konszig jel: BM-6-09;1,0;db;2 350 970;129 856;2 350 970;129 856;2 480 826
45-61-04 Tárgyalóasztal, ovális, 350x220x77 - Egyedi;Konszig jel: BM-6-10;1,0;db;2 968 490;157 747;2 968 490;157 747;3 126 237
