Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
80-00-00 GYENGEÁRAM;;;;;5 208 938 832;1 486 087 827;6 695 026 659
83-00-00 BELÉPTETŐ RENDSZER;;;0;0;1 081 432 422;83 953 528;1 165 385 950
83-00-01;;;-;-;-;-;-
83-00-02;;;-;-;-;-;-
83-00-03;;;-;-;-;-;-
83-00-04;;;-;-;-;-;-
83-00-05;;;-;-;-;-;-
83-00-06;;;-;-;-;-;-
83-00-07;;;-;-;-;-;-
83-00-08;;;-;-;-;-;-
83-00-09;;;-;-;-;-;-
83-00-10;;;-;-;-;-;-
83-00-11;;;-;-;-;-;-
83-00-12;;;-;-;-;-;-
83-00-13;;;-;-;-;-;-
83-00-14;;;-;-;-;-;-
83-00-15;;;-;-;-;-;-
83-00-16;;;-;-;-;-;-
83-00-17;;;-;-;-;-;-
83-00-18;;;-;-;-;-;-
83-00-19;;;-;-;-;-;-
