Tétel;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
80-00-00 GYENGEÁRAM;;;;;5 208 938 832;1 486 087 827;6 695 026 659
82-00-26;;;-;-;-;-;-
82-00-27;;;-;-;-;-;-
82-00-28;;;-;-;-;-;-
82-00-29;;;-;-;-;-;-
82-00-30;;;-;-;-;-;-
82-00-31;;;-;-;-;-;-
82-00-32;;;-;-;-;-;-
82-00-33;;;-;-;-;-;-
82-00-34;;;-;-;-;-;-
82-00-35;;;-;-;-;-;-
82-00-36;;;-;-;-;-;-
82-00-37;;;-;-;-;-;-
82-00-38;;;-;-;-;-;-
82-00-39;;;-;-;-;-;-
82-00-40;;;-;-;-;-;-
82-00-41;;;-;-;-;-;-
82-00-42;;;-;-;-;-;-
82-00-43;;;-;-;-;-;-
82-00-44;;;-;-;-;-;-
82-00-45;;;-;-;-;-;-
82-00-46;;;-;-;-;-;-
82-00-47;;;-;-;-;-;-
82-00-48;;;-;-;-;-;-
