Tétel;Megjegyzés;Menny.;Egys.;Anyag e.ár (net HUF);Díj e.ár (net HUF);Anyag összesen (net HUF);Díj összesen (net HUF);Anyag+Díj összesen (net HUF)
45-50-78 Tárgyalószék, 65x65x100 - Termék;Konszig jel: BM-5-31.1;21,0;db;296 849;8 064;6 233 832;169 340;6 403 172
45-50-79 Tárgyalószék, 65x65x100 - Termék;Konszig jel: BM-5-31.2;2,0;db;296 849;8 064;593 698;16 128;609 825
45-50-80 Tárgyalószék, 65x65x100 - Termék;Konszig jel: BM-5-31.2;0,0;db;296 849;8 064;0;0;0
45-50-81 Tárgyalószék, 65x65x100 - Termék;Konszig jel: BM-5-32;5,0;db;296 849;8 064;1 484 246;40 319;1 524 565
45-50-82 Tárgyalószék, 65x65x100 - Termék;Konszig jel: BM-5-32;68,0;db;296 849;8 064;20 185 742;548 338;20 734 081
45-50-83 Tárgyalószék, 65x65x100 - Termék;Konszig jel: BM-5-32;54,0;db;296 849;8 064;16 029 854;435 445;16 465 299
45-50-84 Tárgyalószék, 65x65x100 - Termék;Konszig jel: BM-5-32;44,0;db;296 849;8 064;13 061 363;354 807;13 416 170
45-50-85 Tárgyalószék (Látványtári terem), 55x55x100 - Termék;Konszig jel: BM-5-33;1,0;db;296 849;8 064;296 849;8 064;304 913
45-50-86 Tárgyalószék (Ügyv. igazgató), 56x78x48 - Fejlesztés (családi);Konszig jel: BM-5-34;13,0;db;287 894;7 221;3 742 625;93 877;3 836 502
45-50-87 Tárgyalószék (Ügyv. igazgató), 56x78x48 - Fejlesztés (családi);Konszig jel: BM-5-34;19,0;db;287 894;7 221;5 469 991;137 205;5 607 196
45-50-88 Tárgyalószék (Igazgató), 56x78x48 - Fejlesztés (családi);Konszig jel: BM-5-35;21,0;db;287 894;7 221;6 045 779;151 648;6 197 427
45-50-89 Tárgyalószék (Igazgató), 56x78x48 - Fejlesztés (családi);Konszig jel: BM-5-35;20,0;db;287 894;7 221;5 757 885;144 426;5 902 311
45-50-90 Tárgyalóasztal, 100x160x75 - Termék;Konszig jel: BM-5-36.1;17,0;db;263 684;14 574;4 482 621;247 768;4 730 408
45-50-91 Tárgyalóasztal, 100x180x75 - Termék;Konszig jel: BM-5-36.2;1,0;db;380 041;21 008;380 041;21 008;401 049
45-50-92 Tárgyalóasztal, 100x180x75 - Termék;Konszig jel: BM-5-36.3;1,0;db;380 041;21 008;380 041;21 008;401 049
45-50-93 Tárgyalószék, 65x65x100 - Termék;Konszig jel: BM-5-32;86,0;db;296 849;8 064;25 529 027;693 487;26 222 514
45-50-94 Tárgyalószék, 65x65x100 - Termék;Konszig jel: BM-5-37;8,0;db;296 849;8 064;2 374 793;64 510;2 439 304
45-50-95 Tárgyalószék, 85x140x75 - Termék;Konszig jel: BM-5-39.1;17,0;db;222 307;13 293;3 789 233;225 964;4 015 197
45-50-96 Tárgyalószék, - Termék;Konszig jel: BM-5-40;38,0;db;296 849;8 064;11 280 268;306 424;11 586 692
45-50-97 Szekrény, 250x45x75 - Egyedi;Konszig jel: BM-5-41.1;1,0;db;662 932;55 294;662 932;55 294;718 226
45-50-98 Szekrény, 300x45x75 - Egyedi;Konszig jel: BM-5-41.2;1,0;db;735 143;92 248;735 143;92 248;827 391
45-50-99 Álló fogas, 40x210 - Termék;Konszig jel: BM-5-42;4,0;db;85 909;5 572;343 637;22 288;365 925
45-50-100 Álló fogas, 40x210 - Termék;Konszig jel: BM-5-45.1;3,0;db;85 909;5 572;257 728;17 015;274 744
